,Comm A,Comm B,Comm C,Comm D
0,1.106,0.343,1.468,0.975
1,1.107,0.339,1.443,0.982
2,1.162,0.35,1.46,0.999
3,1.198,0.363,1.484,1.0
4,1.221,0.384,1.473,1.035
5,1.209,0.38,1.462,1.049
6,1.141,0.375,1.44,0.999
7,1.178,0.346,1.479,1.009
8,1.177,0.352,1.481,0.986
9,1.228,0.359,1.481,0.991
10,1.24,0.372,1.463,1.018
11,1.255,0.377,1.468,1.023
12,1.189,0.34,1.472,0.993
13,1.161,0.346,1.455,0.994
14,1.182,0.368,1.469,0.953
15,1.229,0.361,1.476,0.999
16,1.246,0.382,1.418,1.024
17,1.245,0.377,1.424,1.022
18,1.185,0.369,1.45,1.023
19,1.109,0.383,1.449,1.035
20,1.171,0.401,1.487,1.018
21,1.232,0.382,1.426,1.008
22,1.203,0.397,1.389,1.067
23,1.226,0.396,1.418,1.061
24,1.206,0.36,1.455,0.998
25,1.148,0.373,1.44,1.02
26,1.199,0.373,1.464,1.042
27,1.228,0.378,1.45,1.018
28,1.254,0.383,1.41,1.051
29,1.251,0.386,1.378,1.078
30,1.131,0.359,1.452,1.014
31,1.173,0.364,1.41,1.05
32,1.183,0.366,1.422,1.028
33,1.184,0.354,1.434,1.01
34,1.239,0.385,1.395,1.053
35,1.254,0.379,1.419,1.055
36,1.125,0.365,1.414,1.024
37,1.165,0.358,1.432,1.063
38,1.194,0.356,1.428,1.021
39,1.18,0.367,1.428,0.985
40,1.213,0.37,1.4,1.019
41,1.202,0.369,1.415,1.028
42,1.111,0.361,1.417,0.939
43,1.175,0.359,1.431,0.882
44,1.192,0.367,1.436,0.972
45,1.186,0.369,1.415,0.971
46,1.26,0.382,1.427,1.029
47,1.235,0.389,1.427,1.003
